;nome;cpf;email;endereco;bairro;estado;estado_nome;sigla;telefone;pais;code;cartao_cred;cartao_num;credt_exp;cvv;data;data_hora;digtap_ptcao
0;Diogo Fonseca;980.325.147-32;calmeida@example.net;"Rua Paulo Siqueira, 57
Vila Jardim São José
85524566 Alves / SC";Santa Helena;('AP', 'Amapá');Rondônia;AL;+55 (09) 9 8703-2887;Macedônia do Norte;CN;"Mastercard
Nicole Montenegro
2289710516189497 05/25
CVV: 754
";6011403171086523;01/27;921;1986-01-21;2010-06-14 08:58:30.962685;2024-12-27
1;Antonella Almeida;793.046.258-74;csouza@example.com;"Alameda de da Paz, 90
Céu Azul
81580-670 Aragão / SE";Vila Da Amizade;('PI', 'Piauí');Rio Grande do Norte;MA;+55 (39) 94648-0173;Sérvia;FI;"JCB 16 digit
Natália da Paz
3558697362217302 05/34
CVC: 175
";213108896477233;10/30;426;1992-11-18;1991-09-09 06:16:19.358063;2024-12-27
2;Bella Barros;529.760.183-59;emanuellycorreia@example.org;"Rua Benjamin Costela, 41
Taquaril
68170087 Nascimento de Minas / RR";Jardim América;('MT', 'Mato Grosso');Ceará;AP;+55 88 96057-3473;Nova Caledónia;IR;"Discover
Leonardo da Costa
6011723610668098 11/29
CVC: 851
";4505231243977900;12/27;387;1985-09-28;1981-11-13 16:53:24.436317;2024-12-27
3;Dra. Heloísa Freitas;429.168.730-31;melissa80@example.net;"Passarela de Sales, 6
Vila Nova Gameleira 2ª Seção
47267509 Cunha do Norte / AC";Conjunto Califórnia Ii;('AP', 'Amapá');Maranhão;DF;+55 (26) 98361-6735;Costa Rica;HU;"VISA 16 digit
Agatha Gomes
4375875111621458 04/30
CVC: 246
";377617628169951;08/29;925;1975-04-10;1994-07-20 23:51:46.161134;2024-12-27
4;Otávio Moraes;523.967.084-65;pedro-lucas82@example.com;"Esplanada de da Rocha, 6
Vila São Geraldo
97758354 Sales Grande / ES";Vila Minaslandia;('ES', 'Espírito Santo');Amazonas;AC;+55 70 9 4778 0762;Gana;SE;"Diners Club / Carte Blanche
Larissa Leão
30420641980879 07/30
CVC: 613
";180093838271549;07/32;253;2006-07-08;1992-04-21 13:24:48.925968;2024-12-27
5;Breno Cardoso;291.370.854-41;albuquerquerael@example.net;"Esplanada Gabriel Nogueira, 64
Barão Homem De Melo 3ª Seção
20547002 Rios da Prata / GO";Jardim Alvorada;('AM', 'Amazonas');Minas Gerais;SC;+55 65 9 6878 4622;Paraguai;CA;"American Express
Valentim Vieira
340429278664602 01/29
CID: 0054
";3538846221767362;05/30;683;2015-04-30;2002-09-03 06:59:23.779784;2024-12-27
6;Rodrigo Almeida;346.215.708-62;fonsecaalice@example.com;"Fazenda de Ramos, 35
Jardim Leblon
56300080 Oliveira dos Dourados / GO";Vila Batik;('SP', 'São Paulo');Goiás;BA;+55 (35) 90264-5312;Tanzânia;SO;"Maestro
Bárbara da Conceição
503861988825 11/30
CVV: 338
";30558809978688;04/32;063;1996-10-24;2005-03-11 11:54:50.973565;2024-12-27
7;Valentim Campos;926.748.531-82;britojose@example.org;"Praça de Guerra, 26
Bairro Das Indústrias Ii
88794209 Sousa / MS";Paraíso;('PE', 'Pernambuco');Rio de Janeiro;RR;+55 (022) 99901 2824;Akrotiri;GB;"Mastercard
Apollo Freitas
2720273487804070 12/27
CVV: 294
";6551437888581356;09/26;693;1987-05-15;1982-05-31 05:29:38.400858;2024-12-27
8;Ana Beatriz Mendes;149.726.085-01;emanuellyporto@example.net;"Avenida Pinto, 50
Santa Maria
65619641 Monteiro / RR";Mangueiras;('GO', 'Goiás');Rondônia;PA;+55 75 91290 2342;Comores;LI;"American Express
Emanuella Fernandes
346054209345628 03/25
CID: 9349
";3529024652628765;02/28;162;2001-10-23;1994-06-10 03:41:03.863538;2024-12-27
9;Guilherme Nascimento;351.209.867-30;pereiramaria-sophia@example.net;"Lago de Almeida, 10
Vila Suzana Primeira Seção
01231026 Camargo / DF";Diamante;('GO', 'Goiás');São Paulo;PI;+55 (016) 91669-6163;Liechtenstein;PS;"American Express
Eduarda Cavalcanti
345317575409091 02/26
CID: 7667
";503892478127;03/26;905;2022-07-17;1988-06-19 19:46:54.012709;2024-12-27
10;Thomas Costa;582.360.471-80;isisvasconcelos@example.com;"Loteamento Leão, 815
Vila Nova Paraíso
84481954 Casa Grande / AP";Savassi;('RR', 'Roraima');Rondônia;SC;+55 (63) 99148 0538;Navassa Island;TN;"VISA 19 digit
Ravi Siqueira
4516188394555367913 06/29
CVC: 483
";4688644679398641135;03/32;701;2022-03-07;2013-12-15 09:56:56.092014;2024-12-27
11;Sra. Bárbara Barbosa;019.825.764-30;antoniopastor@example.org;"Rua Ana Luiza Cirino, 15
Vila Boa Vista
95327-727 Sá de Rodrigues / MS";Sion;('AP', 'Amapá');Paraná;MS;+55 (026) 92867 0449;Nauru;MM;"JCB 16 digit
Pedro Henrique Fernandes
3519178446479075 10/25
CVC: 747
";6011574583161664;07/30;052;1996-07-28;1972-05-05 14:41:13.847401;2024-12-27
